time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2021-11-12 16:38:21.667276,24.52,101619.45,45.28,-24.49,0.10,-0.36,10.20,0.03,-0.16,-0.11,114,120,86,68,250
2021-11-12 16:38:21.926719,24.52,101617.20,45.28,-24.30,0.10,-0.40,10.22,0.03,-0.16,-0.11,105,120,86,67,250
2021-11-12 16:38:22.406209,24.52,101617.44,45.29,-24.32,0.07,-0.42,10.21,0.03,-0.16,-0.11,111,119,86,67,250
2021-11-12 16:38:22.886435,24.52,101617.20,45.29,-24.30,0.10,-0.41,10.20,0.03,-0.16,-0.11,130,120,86,67,251
2021-11-12 16:38:23.367137,24.52,101617.27,45.31,-24.30,0.06,-0.42,10.24,0.03,-0.16,-0.11,127,120,86,67,250
2021-11-12 16:38:23.846917,24.52,101617.61,45.24,-24.33,0.08,-0.41,10.23,0.03,-0.16,-0.11,102,119,86,67,250
2021-11-12 16:38:24.326643,24.52,101619.45,45.26,-24.46,0.09,-0.40,10.20,0.03,-0.15,-0.11,134,120,86,67,250
2021-11-12 16:38:24.807049,24.52,101620.30,45.23,-24.56,0.07,-0.41,10.18,0.03,-0.16,-0.11,129,120,86,67,251
2021-11-12 16:38:25.287121,24.52,101620.68,45.23,-24.59,0.04,-0.44,10.25,0.03,-0.16,-0.11,103,120,86,67,251
2021-11-12 16:38:25.766680,24.52,101618.78,45.19,-24.43,0.09,-0.41,10.22,0.03,-0.16,-0.11,109,120,86,67,251
2021-11-12 16:38:26.246842,24.52,101617.77,45.20,-24.35,0.10,-0.40,10.20,0.03,-0.16,-0.11,704,120,86,67,250
2021-11-12 16:38:26.726683,24.53,101619.48,45.20,-24.49,0.11,-0.38,10.17,0.03,-0.15,-0.11,94,120,86,67,250
2021-11-12 16:38:27.206736,24.53,101617.72,45.17,-24.34,0.09,-0.40,10.22,0.03,-0.16,-0.11,276,120,86,67,250
2021-11-12 16:38:27.687167,24.53,101618.73,45.15,-24.43,0.09,-0.39,10.22,0.03,-0.16,-0.11,153,120,86,67,251
2021-11-12 16:38:28.166908,24.53,101620.88,45.12,-24.60,0.06,-0.39,10.18,0.03,-0.16,-0.11,134,120,86,67,250
2021-11-12 16:38:28.646957,24.53,101618.30,45.10,-24.39,0.10,-0.42,10.24,0.03,-0.16,-0.11,117,120,86,68,250
2021-11-12 16:38:29.127210,24.53,101621.20,45.09,-24.63,0.10,-0.40,10.21,0.03,-0.15,-0.11,95,120,86,67,250
2021-11-12 16:38:29.606780,24.53,101620.08,45.13,-24.54,0.09,-0.40,10.20,0.03,-0.15,-0.11,99,119,86,67,250
2021-11-12 16:38:30.086744,24.53,101625.08,45.10,-24.95,0.08,-0.42,10.24,0.03,-0.16,-0.11,102,120,86,67,250
2021-11-12 16:38:30.566782,24.53,101619.48,45.08,-24.52,0.05,-0.42,10.24,0.03,-0.15,-0.11,194,120,86,67,250
2021-11-12 16:38:31.047190,24.53,101620.60,45.09,-24.58,0.09,-0.41,10.21,0.03,-0.16,-0.11,122,120,86,67,250
2021-11-12 16:38:31.527063,24.53,101622.12,45.04,-24.71,0.07,-0.42,10.22,0.03,-0.16,-0.11,210,120,86,67,250
2021-11-12 16:38:32.006373,24.53,101621.11,45.06,-24.62,0.09,-0.41,10.19,0.03,-0.15,-0.11,124,120,86,67,250
2021-11-12 16:38:32.486949,24.53,101621.88,45.08,-24.69,0.08,-0.41,10.27,0.03,-0.15,-0.11,103,120,86,68,250
2021-11-12 16:38:32.966188,24.53,101620.77,45.08,-24.60,0.09,-0.41,10.22,0.03,-0.15,-0.11,109,120,86,67,250
2021-11-12 16:38:33.446869,24.53,101619.93,45.08,-24.53,0.09,-0.39,10.21,0.03,-0.15,-0.11,109,120,86,68,250
