time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha,fan
2021-05-17 15:41:52.024279,24.60,100871.67,47.27,37.81,-1.30,1.96,-9.39,0.17,-0.07,-0.12,115,1,1,1,1,-1
2021-05-17 15:41:52.032276,24.60,100869.94,47.27,37.96,-0.58,1.67,-9.87,0.15,-0.12,-0.22,395,1,1,1,1,-1
2021-05-17 15:41:52.511797,24.61,100871.92,47.45,37.79,1.83,-0.05,-9.38,-0.03,0.31,0.28,128,1,1,1,2,-1
2021-05-17 15:41:52.991771,24.62,100872.33,47.69,37.76,-1.21,-0.02,-9.24,-0.30,-0.87,0.46,213,1,1,1,2,-1
2021-05-17 15:41:53.470972,24.61,100869.57,47.77,38.02,-0.44,0.04,-10.59,0.27,-0.16,0.34,128,1,1,1,2,-1
2021-05-17 15:41:53.951772,24.60,100871.95,47.52,37.79,-2.72,1.51,-8.96,0.26,-0.09,-0.11,144,1,1,1,1,-1
2021-05-17 15:41:54.431964,24.60,100872.77,46.95,37.72,-1.07,-1.06,-9.70,-0.09,0.03,-0.70,139,0,0,0,1,-1
2021-05-17 15:41:54.911137,24.59,100872.54,46.31,37.74,0.24,-0.05,-9.80,0.25,-0.16,0.18,113,0,0,0,1,-1
2021-05-17 15:41:55.391759,24.58,100869.85,45.74,37.96,-1.06,-0.22,-9.56,-0.01,-0.06,-0.34,84,0,0,0,1,-1
2021-05-17 15:41:55.871895,24.57,100873.38,45.15,37.67,-0.32,0.37,-10.39,0.40,-0.08,-0.11,96,0,0,0,1,-1
2021-05-17 15:41:56.351739,24.57,100874.22,44.52,37.60,-0.39,-0.11,-10.20,0.47,-0.12,0.29,103,0,0,0,1,-1
2021-05-17 15:41:56.831914,24.57,100873.97,44.03,37.62,-1.01,0.54,-9.36,0.02,-0.12,-0.08,105,0,0,0,1,-1
2021-05-17 15:41:57.311860,24.56,100871.38,43.59,37.84,-0.42,0.40,-10.10,0.22,-0.15,0.48,89,0,0,0,1,-1
2021-05-17 15:41:57.791871,24.56,100871.54,43.20,37.82,-2.27,0.74,-9.23,-0.10,-0.36,-0.18,134,0,0,0,0,-1
