time,temperature
2021-08-25 11:49:33.523306,23.70
2021-08-25 11:49:33.649248,23.71
2021-08-25 11:49:34.134005,23.71
2021-08-25 11:49:34.609758,23.70
2021-08-25 11:49:35.090713,23.70
2021-08-25 11:49:35.570841,23.71
2021-08-25 11:49:36.051094,23.70
2021-08-25 11:49:36.532191,23.71
2021-08-25 11:49:37.009910,23.71
2021-08-25 11:49:37.489275,23.70
2021-08-25 11:49:37.969176,23.71
2021-08-25 11:49:38.449267,23.71
2021-08-25 11:49:38.932533,23.70
2021-08-25 11:49:39.409909,23.70
2021-08-25 11:49:39.889918,23.70
2021-08-25 11:49:40.370935,23.70
2021-08-25 11:49:40.849927,23.70
2021-08-25 11:49:41.330491,23.71
2021-08-25 11:49:41.811263,23.70
